sample	contig	phylum
ERR315859	k141_436246	Pseudomonadota
ERR315859	k141_349743	Bacteroidota
ERR315859	k141_825609	Pseudomonadota
ERR315859	k141_695594	Bacillota
ERR315859	k141_220111	Pseudomonadota
ERR315859	k141_177139	Pseudomonadota
ERR315859	k141_349857	Pseudomonadota
ERR315859	k141_652874	Bacillota
ERR315859	k141_349865	Pseudomonadota
ERR315859	k141_523279	Cyanobacteriota
ERR315859	k141_609782	Bacillota
ERR315859	k141_133835	Cyanobacteriota
ERR315859	k141_393826	Pseudomonadota
ERR315859	k141_4347	Cyanobacteriota
ERR315859	k141_609826	Cyanobacteriota
ERR315859	k141_350103	Pseudomonadota
ERR315859	k141_480027	Pseudomonadota
ERR315859	k141_4400	Pseudomonadota
ERR315859	k141_480156	Fusobacteriota
ERR315859	k141_610024	Bacillota
ERR315859	k141_523592	Pseudomonadota
ERR315859	k141_739786	Pseudomonadota
ERR315859	k141_134193	Pseudomonadota
ERR315859	k141_177741	Pseudomonadota
ERR315859	k141_91088	Pseudomonadota
ERR315859	k141_739803	Pseudomonadota
ERR315859	k141_783259	Pseudomonadota
ERR315859	k141_826352	Cyanobacteriota
ERR315859	k141_653429	Pseudomonadota
ERR315859	k141_4628	Cyanobacteriota
ERR315859	k141_307853	Pseudomonadota
ERR315859	k141_350383	Pseudomonadota
ERR315859	k141_653480	Pseudomonadota
ERR315859	k141_523821	Bacillota
ERR315859	k141_696398	Pseudomonadota
ERR315859	k141_783459	Bacillota
ERR315859	k141_307928	Cyanobacteriota
ERR315859	k141_653557	Pseudomonadota
ERR315859	k141_134455	Bacillota
ERR315859	k141_178009	Pseudomonadota
ERR315859	k141_610378	Pseudomonadota
ERR315859	k141_696470	Bacillota
ERR315859	k141_178052	Cyanobacteriota
ERR315859	k141_480542	Pseudomonadota
ERR315859	k141_134487	Pseudomonadota
ERR315859	k141_566957	Pseudomonadota
ERR315859	k141_308112	Pseudomonadota
ERR315859	k141_394537	Bacillota
ERR315859	k141_350749	Pseudomonadota
ERR315859	k141_221086	Cyanobacteriota
ERR315859	k141_826772	Pseudomonadota
ERR315859	k141_783782	Pseudomonadota
ERR315859	k141_178505	Cyanobacteriota
ERR315859	k141_654038	Fusobacteriota
ERR315859	k141_567268	Pseudomonadota
ERR315859	k141_783886	Pseudomonadota
ERR315859	k141_567276	Pseudomonadota
ERR315859	k141_351025	Pseudomonadota
ERR315859	k141_308539	Cyanobacteriota
ERR315859	k141_481046	Pseudomonadota
ERR315859	k141_5418	Pseudomonadota
ERR315859	k141_437736	Cyanobacteriota
ERR315859	k141_135070	Bacillota
ERR315859	k141_611111	Pseudomonadota
ERR315859	k141_5421	Pseudomonadota
ERR315859	k141_740861	Bacteroidota
ERR315859	k141_221507	Cyanobacteriota
ERR315859	k141_784035	Pseudomonadota
ERR315859	k141_265268	Pseudomonadota
ERR315859	k141_740984	Cyanobacteriota
ERR315859	k141_654447	Cyanobacteriota
ERR315859	k141_308824	Pseudomonadota
ERR315859	k141_567605	Bacteroidota
ERR315859	k141_827323	Bacteroidota
ERR315859	k141_49111	Pseudomonadota
ERR315859	k141_481426	Pseudomonadota
ERR315859	k141_741261	Pseudomonadota
ERR315859	k141_654658	Bacillota
ERR315859	k141_265628	Bacillota
ERR315859	k141_265653	Pseudomonadota
ERR315859	k141_92589	Planctomycetota
ERR315859	k141_438372	Cyanobacteriota
ERR315859	k141_481719	Bacillota
ERR315859	k141_351729	Bacillota
ERR315859	k141_351736	Pseudomonadota
ERR315859	k141_49584	Pseudomonadota
ERR315859	k141_351744	Cyanobacteriota
ERR315859	k141_6124	Planctomycetota
ERR315859	k141_309449	Pseudomonadota
ERR315859	k141_92816	Bacillota
ERR315859	k141_612010	Planctomycetota
ERR315859	k141_741784	Pseudomonadota
ERR315859	k141_612070	Pseudomonadota
ERR315859	k141_612081	Cyanobacteriota
ERR315859	k141_266106	Cyanobacteriota
ERR315859	k141_179902	Bacillota
ERR315859	k141_352012	Pseudomonadota
ERR315859	k141_525775	Pseudomonadota
ERR315859	k141_612167	Bacteroidota
ERR315859	k141_698212	Pseudomonadota
ERR315859	k141_6560	Cyanobacteriota
ERR315859	k141_482053	Pseudomonadota
ERR315859	k141_136344	Bacteroidota
ERR315859	k141_482088	Bacillota
ERR315859	k141_136406	Pseudomonadota
ERR315859	k141_180116	Pseudomonadota
ERR315859	k141_482114	Cyanobacteriota
ERR315859	k141_698385	Pseudomonadota
ERR315859	k141_222733	Pseudomonadota
ERR315859	k141_698401	Pseudomonadota
ERR315859	k141_6737	Cyanobacteriota
ERR315859	k141_222771	Cyanobacteriota
ERR315859	k141_266473	Bacteroidota
ERR315859	k141_6762	Bacillota
ERR315859	k141_568819	Cyanobacteriota
ERR315859	k141_180266	Pseudomonadota
ERR315859	k141_785345	Pseudomonadota
ERR315859	k141_568857	Pseudomonadota
ERR315859	k141_612484	Pseudomonadota
ERR315859	k141_222839	Pseudomonadota
ERR315859	k141_93446	Pseudomonadota
ERR315859	k141_785376	Pseudomonadota
ERR315859	k141_482355	Cyanobacteriota
ERR315859	k141_93548	Pseudomonadota
ERR315859	k141_439358	Bacillota
ERR315859	k141_785484	Pseudomonadota
ERR315859	k141_742626	Bacillota
ERR315859	k141_785581	Thermotogota
ERR315859	k141_180547	Pseudomonadota
