Sample,reads
ERR315859,37184688.0
ERR594308,81572153.0
ERR594312,78766778.0
ERR599168,48143741.0
SRR3719657,54529113.0
SRR3727512,73818685.0
SRR3943823,45286864.0
SRR3952299,40415182.0
SRR3979410,34111485.0
SRR3989440,43399517.0
SRR4030043,35783563.0
SRR4289282,36330890.0
SRR4289291,38458357.0
SRR4465034,60315861.0
SRR5207236,47436714.0
SRR5207629,32086122.0
SRR5208282,76282148.0
SRR5210996,111116333.0
SRR5262247,47247813.0
SRR9040676,106620227.0
