Sample,read length
ERR315859,100
ERR594308,100
ERR594312,100
ERR599168,150
SRR3719657,150
SRR3727512,100
SRR3943823,150
SRR3952299,250
SRR4465034,125
SRR5210996,150
SRR3979410,150
SRR3989440,250
SRR4030043,150
SRR4289282,150
SRR4289291,150
SRR5207236,250
SRR5207629,150
SRR5208282,150
SRR5262247,150
SRR9040676,150
