Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
ERR315859_1_t	2.6419583395154973	38.0	105.91001684507621	16.666666666666664	37086208.0
ERR315859_1_up	67.65002521432174	50.0	63.02269288956127	41.66666666666667	3966.0
ERR315859_2_t	2.522392904725706	38.0	105.96985876798189	16.666666666666664	37086208.0
ERR315859_2_up	47.70447960775574	48.0	68.22219745932695	33.33333333333333	8974.0
ERR594308_1_t	12.900582343675055	40.0	99.643826160983	16.666666666666664	78655760.0
ERR594308_1_up	1.7911199502537443	47.0	99.71043497660527	33.33333333333333	1317818.0
ERR594308_2_t	13.08393930417364	40.0	99.64403115550597	16.666666666666664	78655760.0
ERR594308_2_up	0.6229490996848597	47.0	99.80353959935087	25.0	902136.0
ERR594312_1_t	13.168445340902238	43.0	99.934725104068	0.0	75885008.0
ERR594312_1_up	3.4056034550278866	48.0	99.79286249064138	16.666666666666664	1366387.0
ERR594312_2_t	13.520929650355086	43.0	99.94093225897795	0.0	75885008.0
ERR594312_2_up	2.2808590323307953	49.0	99.78259391869996	16.666666666666664	1012152.0
ERR599168_1_t	2.727280298130424	35.0	142.97058442500025	8.333333333333332	48143577.0
ERR599168_1_up	0.0	31.0	129.14666666666668	16.666666666666664	150.0
ERR599168_2_t	2.60832774912123	34.0	142.4762354488118	8.333333333333332	48143577.0
ERR599168_2_up	0.0	34.0	137.42857142857142	25.0	14.0
SRR3719657_1_t	9.257681824128156	39.0	149.85691767155603	9.090909090909092	50746714.0
SRR3719657_1_up	4.784978833739146	46.0	149.90231024652545	36.36363636363637	2682441.0
SRR3719657_2_t	9.137681892648743	40.0	149.85691767155603	9.090909090909092	50746714.0
SRR3719657_2_up	1.891171794581851	45.0	149.76403936955222	27.27272727272727	463607.0
SRR3727512_1_t	10.368187887546938	54.0	95.88826691443678	9.090909090909092	70044499.0
SRR3727512_1_up	1.865308256668527	59.0	98.84269644926707	18.181818181818183	2560063.0
SRR3727512_2_t	10.324934253586136	54.0	95.89008395934134	9.090909090909092	70044499.0
SRR3727512_2_up	2.8899737656362277	61.0	98.33449095959583	18.181818181818183	750962.0
SRR3943823_1_t	4.626887101382238	53.0	149.91660695785654	0.0	44626301.0
SRR3943823_1_up	0.5057133819315851	55.0	149.95459604874944	0.0	637874.0
SRR3943823_2_t	4.481793113713863	53.0	149.91660695785654	0.0	44626301.0
SRR3943823_2_up	2.1039327931008813	56.0	149.63779644636085	0.0	13451.0
SRR3952299_1_t	1.5401169088599005	42.0	248.27611171427753	25.0	38438811.0
SRR3952299_1_up	2.202589875086076	47.0	248.7893315128299	8.333333333333332	237297.0
SRR3952299_2_t	1.6320689507405461	42.0	248.28076375723484	25.0	38438811.0
SRR3952299_2_up	2.7653341556723063	52.0	246.56588857568568	16.666666666666664	1613436.0
SRR3979410_1_t	0.039748272148102615	62.0	149.93826479628902	27.27272727272727	29760621.0
SRR3979410_1_up	0.02001774884762142	65.0	149.97986702833256	27.27272727272727	2254014.0
SRR3979410_2_t	0.06602780089940552	62.0	149.93826479628902	18.181818181818183	29760621.0
SRR3979410_2_up	0.02019733424883441	65.0	149.95907845627244	18.181818181818183	1551310.0
SRR3989440_1_t	5.436931755216506	61.0	250.0525244375871	27.27272727272727	36336648.0
SRR3989440_1_up	2.83594540089544	63.0	248.39177527422385	36.36363636363637	4046603.0
SRR3989440_2_t	5.3774830595969405	61.0	250.06672549983148	27.27272727272727	36336648.0
SRR3989440_2_up	2.9665064917858643	65.0	250.47800509068853	27.27272727272727	1173908.0
SRR4030043_1_t	0.2592855479702081	48.0	149.1050409516435	18.181818181818183	32211894.0
SRR4030043_1_up	0.034822048954580964	54.0	147.22386785824614	18.181818181818183	1828945.0
SRR4030043_2_t	0.28647697267867045	49.0	149.14735625294185	18.181818181818183	32211894.0
SRR4030043_2_up	0.08217733105364289	55.0	149.49502458391618	9.090909090909092	955096.0
SRR4289282_1_t	4.335479729652121	65.0	149.71676829545285	0.0	35881894.0
SRR4289282_1_up	0.40132864038130833	63.0	149.74137968946604	9.090909090909092	409295.0
SRR4289282_2_t	4.236026174234198	65.0	149.6856401727289	0.0	35881894.0
SRR4289282_2_up	0.8330508064125439	64.0	135.28875865743208	9.090909090909092	20647.0
SRR4289291_1_t	3.290892432630045	62.0	149.4813604962914	18.181818181818183	37268106.0
SRR4289291_1_up	0.3691585566612474	61.0	149.86558605832866	9.090909090909092	1107586.0
SRR4289291_2_t	2.7071784353040727	62.0	149.4459072054802	9.090909090909092	37268106.0
SRR4289291_2_up	1.2581432313237428	60.0	143.19745237189102	9.090909090909092	44669.0
SRR4465034_1_t	9.010113073612686	49.0	123.5289224730867	16.666666666666664	59247838.0
SRR4465034_1_up	2.1518700353331894	57.0	122.58618557640366	25.0	768255.0
SRR4465034_2_t	8.637039100960166	49.0	123.52994193644669	16.666666666666664	59247838.0
SRR4465034_2_up	7.881963731421877	55.0	113.54529438827609	16.666666666666664	178234.0
SRR5207236_1_t	2.9821654119468235	62.0	249.2753301292033	27.27272727272727	40991678.0
SRR5207236_1_up	0.1449977603585637	62.0	250.79746662967338	9.090909090909092	5467657.0
SRR5207236_2_t	2.979003821540985	62.0	249.29031702483613	27.27272727272727	40991678.0
SRR5207236_2_up	0.5150426030540558	62.0	250.43094894353558	18.181818181818183	250742.0
