Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	kmer_content
SRR3943823_1_up	SRR3943823_1_up.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	637874.0	0.0	31-150	55.0	99.49428661806841	149.95459604874944	pass	pass	warn	pass	warn	warn	pass	warn	pass	pass	pass	warn
SRR3943823_2_t	SRR3943823_2_t.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44626301.0	0.0	31-150	53.0	95.51820688628614	149.91660695785654	pass	pass	warn	pass	warn	warn	pass	warn	pass	pass	pass	pass
SRR3943823_2_up	SRR3943823_2_up.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13451.0	0.0	64-150	56.0	97.89606720689912	149.63779644636085	pass	pass	warn	pass	warn	warn	pass	warn	pass	warn	pass	warn
SRR3952299_1_t	SRR3952299_1_t.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38438811.0	0.0	15-250	42.0	98.4598830911401	248.27611171427753	pass	fail	warn	pass	pass	fail	pass	warn	pass	pass	pass	fail
SRR3952299_1_up	SRR3952299_1_up.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	237297.0	0.0	15-250	47.0	97.79741012491392	248.7893315128299	pass	fail	warn	pass	pass	pass	pass	warn	pass	warn	pass	warn
SRR3952299_2_t	SRR3952299_2_t.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38438811.0	0.0	15-250	42.0	98.36793104925945	248.28076375723484	pass	pass	fail	pass	pass	fail	pass	warn	pass	pass	pass	fail
SRR3952299_2_up	SRR3952299_2_up.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1613436.0	0.0	15-250	52.0	97.2346658443277	246.56588857568568	pass	fail	warn	pass	pass	pass	pass	warn	pass	warn	pass	fail
SRR3979410_1_t	SRR3979410_1_t.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29760621.0	0.0	31-150	62.0	99.9602517278519	149.93826479628902	pass	fail		pass	fail	warn	pass	warn	pass	pass	pass	fail
SRR3979410_1_up	SRR3979410_1_up.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2254014.0	0.0	31-150	65.0	99.97998225115238	149.97986702833256	pass	fail		pass	fail	warn	pass	warn	pass	pass	pass	fail
SRR3979410_2_t	SRR3979410_2_t.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29760621.0	0.0	31-150	62.0	99.9339721991006	149.93826479628902	pass	fail		pass	pass	warn	pass	warn	pass	pass	pass	fail
SRR3979410_2_up	SRR3979410_2_up.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1551310.0	0.0	36-150	65.0	99.97980266575117	149.95907845627244	pass	fail		pass	pass	warn	pass	warn	pass	pass	pass	fail
SRR3989440_1_t	SRR3989440_1_t.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36336648.0	0.0	15-251	61.0	94.5630682447835	250.0525244375871	pass	fail		pass	warn	fail	pass	warn	pass	pass	pass	fail
SRR3989440_1_up	SRR3989440_1_up.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4046603.0	0.0	15-251	63.0	97.16405459910456	248.39177527422385	pass	fail		pass	fail	fail	pass	warn	pass	warn	pass	fail
SRR3989440_2_t	SRR3989440_2_t.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36336648.0	0.0	31-251	61.0	94.62251694040306	250.06672549983148	pass	fail		pass	warn	fail	pass	warn	pass	pass	pass	fail
SRR3989440_2_up	SRR3989440_2_up.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1173908.0	0.0	39-251	65.0	97.03349350821414	250.47800509068853	pass	fail		pass	warn	fail	pass	warn	pass	warn	pass	fail
SRR4030043_1_t	SRR4030043_1_t.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32211894.0	0.0	15-150	48.0	99.74071445202979	149.1050409516435	pass	fail		pass	pass	pass	pass	warn	pass	pass	pass	fail
SRR4030043_1_up	SRR4030043_1_up.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1828945.0	0.0	15-150	54.0	99.96517795104542	147.22386785824614	pass	fail		pass	pass	pass	pass	warn	pass	pass	pass	fail
SRR4030043_2_t	SRR4030043_2_t.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32211894.0	0.0	31-150	49.0	99.71352302732133	149.14735625294185	pass	fail		pass	pass	pass	pass	warn	pass	pass	pass	fail
SRR4030043_2_up	SRR4030043_2_up.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	955096.0	0.0	31-150	55.0	99.91782266894636	149.49502458391618	pass	fail		pass	pass	warn	pass	warn	pass	pass	pass	pass
SRR4289282_1_t	SRR4289282_1_t.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35881894.0	0.0	15-150	65.0	95.66452027034788	149.71676829545285	pass	pass		pass	warn	warn	pass	warn	pass	pass	pass	pass
SRR4289282_1_up	SRR4289282_1_up.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	409295.0	0.0	15-150	63.0	99.59867135961869	149.74137968946604	pass	pass		pass	warn	fail	pass	warn	pass	pass	pass	warn
